Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
2035,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2036,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2037,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2038,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2039,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2040,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2041,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2042,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2043,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2044,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2045,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2046,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2047,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2048,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2049,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2050,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2051,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2052,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2053,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
2054,88.57351205,87.70179466,86.70915699,85.71651931,84.72388164,83.73124397,82.73448292,81.73772187,80.74096083,79.74419978,78.74743873,77.75146577,76.75549281,75.75951985,74.7635469,73.76757394,72.77574335,71.78391276,70.79208216,69.80025157,68.80842098,67.81672994,66.82503889,65.83334785,64.84165681,63.84996576,62.85931543,61.8686651,60.87801476,59.88736443,58.89671409,57.90792176,56.91912942,55.93033709,54.94154476,53.95275242,52.96563289,51.97851336,50.99139382,50.00427429,49.01715476,48.04019061,47.06322647,46.08626233,45.10929819,44.13233405,43.17232686,42.21231968,41.25231249,40.29230531,39.33229812,38.38786855,37.44343897,36.4990094,35.55457982,34.61015024,33.67722216,32.74429408,31.81136599,30.87843791,29.94550983,29.03004573,28.11458164,27.19911754,26.28365345,25.36818935,24.48799714,23.60780492,22.7276127,21.84742049,20.96722827,20.12747293,19.28771759,18.44796225,17.60820691,16.76845157,15.9901929,15.21193423,14.43367557,13.6554169,12.87715823,12.21538195,11.55360567,10.89182939,10.2300531,9.568276822,9.072472546,8.57666827,8.080863995,7.585059719,7.089255443,6.782564475,6.475873506,6.169182538,5.86249157,5.555800601,5.347780403,5.139760205,4.931740007,4.723719809,4.51569961,4.340411966,4.165124322,3.989836678,3.814549033,3.639261389,3.385943445,3.132625501,2.879307556,2.625989612,2.372671668
